freq MHz (clk),library,cell count,net um2,total um2,gates total um2 equivalent,timing slack ps,Start point,End point,Simulation Time (ns),leakage (W),total (W),dynamic (W),lp_computed_toggle_rate sum_o[7],lp_computed_probability sum_o[7],lp_computed_toggle_rate a_i[1],lp_computed_probability a_i[1]
100,worst,2897,3692.405,13132.289,12799.502,556,i_post_norm_mul/s_fract_48_i_reg[45]/CK,i_post_norm_mul/s_zeros_reg[1]/D,500,N/A,N/A,N/A,N/A,N/A,N/A,N/A
101,worst,2882,3674.862,13099.698,12767.737,772,i_post_norm_mul/s_fract_48_i_reg[45]/CK,i_post_norm_mul/s_zeros_reg[0]/D,500,N/A,N/A,N/A,N/A,N/A,N/A,N/A
102,worst,2870,3671.631,13085.523,12753.921,522,i_post_norm_mul/s_fract_48_i_reg[45]/CK,i_post_norm_mul/s_zeros_reg[0]/D,500,N/A,N/A,N/A,N/A,N/A,N/A,N/A
103,worst,2895,3689.820,13160.484,12826.982,347,i_post_norm_mul/s_fract_48_i_reg[45]/CK,i_post_norm_mul/s_zeros_reg[0]/D,500,N/A,N/A,N/A,N/A,N/A,N/A,N/A
104,worst,2874,3671.593,13104.637,12772.551,203,i_post_norm_mul/s_fract_48_i_reg[1]/CK,i_post_norm_mul/s_r_zeros_reg[2]/D,500,N/A,N/A,N/A,N/A,N/A,N/A,N/A
105,worst,2864,3667.982,13132.832,12800.031,413,i_post_norm_mul/s_fract_48_i_reg[46]/CK,i_post_norm_mul/s_zeros_reg[1]/D,500,N/A,N/A,N/A,N/A,N/A,N/A,N/A
125,worst,3428,4439.849,14969.687,14590.338,1717,i_mul_24/count_reg[0]/CK,i_mul_24/sum_reg[3][23]/D,500,N/A,N/A,N/A,N/A,N/A,N/A,N/A
150,worst,2875,3707.305,13255.945,12920.025,161,i_post_norm_mul/s_fract_48_i_reg[44]/CK,i_post_norm_mul/s_zeros_reg[0]/D,500,N/A,N/A,N/A,N/A,N/A,N/A,N/A
175,worst,3629,4693.539,15556.827,15162.600,164,i_post_norm_mul/s_fract_48_i_reg[1]/CK,i_post_norm_mul/s_zeros_reg[0]/D,500,N/A,N/A,N/A,N/A,N/A,N/A,N/A
200,worst,3502,4510.323,15118.137,14735.026,59,i_post_norm_mul/s_fract_48_i_reg[3]/CK,i_post_norm_mul/s_zeros_reg[0]/D,500,N/A,N/A,N/A,N/A,N/A,N/A,N/A
225,worst,3630,4674.780,15677.604,15280.316,72,i_post_norm_mul/s_fract_48_i_reg[1]/CK,i_post_norm_mul/s_zeros_reg[0]/D,500,N/A,N/A,N/A,N/A,N/A,N/A,N/A
250,worst,3811,4856.667,16263.051,15850.927,47,i_post_norm_mul/s_fract_48_i_reg[2]/CK,i_post_norm_mul/s_zeros_reg[0]/D,500,N/A,N/A,N/A,N/A,N/A,N/A,N/A
275,worst,3952,4974.883,16583.731,16163.481,28,i_post_norm_mul/s_fract_48_i_reg[2]/CK,i_post_norm_mul/s_zeros_reg[0]/D,500,N/A,N/A,N/A,N/A,N/A,N/A,N/A
